"","Department","Expense_Category","TotalExpense","TotalBudget"
"1","ACCOUNTING AND GENERAL SERVICES","BUILDINGS                                         ",39031716.66,177978039
"2","ACCOUNTING AND GENERAL SERVICES","ELECTRICITY                                       ",8092345.82,177978039
"3","ACCOUNTING AND GENERAL SERVICES","FREIGHT AND DELIVERY CHARGES                      ",96900,177978039
"4","ACCOUNTING AND GENERAL SERVICES","INSURANCE                                         ",12506551.6,177978039
"5","ACCOUNTING AND GENERAL SERVICES","LAND AND LAND IMPROVEMENTS                        ",767264.83,177978039
"6","ACCOUNTING AND GENERAL SERVICES","MACHINERY AND EQUIPMENT                           ",7441949.77,177978039
"7","ACCOUNTING AND GENERAL SERVICES","OTHER CAPITAL OUTLAY                              ",1767814.76,177978039
"8","ACCOUNTING AND GENERAL SERVICES","OTHER CURRENT EXPENDITURES                        ",4097298.96,177978039
"9","ACCOUNTING AND GENERAL SERVICES","OTHER GRANTS-IN-AID                               ",625613,177978039
"10","ACCOUNTING AND GENERAL SERVICES","OTHER RENTALS                                     ",3840561.29,177978039
"11","ACCOUNTING AND GENERAL SERVICES","OTHER SUPPLIES                                    ",61816.12,177978039
"12","ACCOUNTING AND GENERAL SERVICES","POSTAGE                                           ",70000,177978039
"13","ACCOUNTING AND GENERAL SERVICES","PRINTING AND BINDING                              ",31717.79,177978039
"14","ACCOUNTING AND GENERAL SERVICES","RENTAL OF EQUIPMENT                               ",2072672.75,177978039
"15","ACCOUNTING AND GENERAL SERVICES","RENTAL OF LAND AND BUILDING                       ",11151709.23,177978039
"16","ACCOUNTING AND GENERAL SERVICES","REPAIR AND MAINTENANCE SUPPLIES                   ",84272.83,177978039
"17","ACCOUNTING AND GENERAL SERVICES","REPAIRS AND MAINTENANCE                           ",3895754.1,177978039
"18","ACCOUNTING AND GENERAL SERVICES","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",28341963.71,177978039
"19","ACCOUNTING AND GENERAL SERVICES","SEWER                                             ",56157.79,177978039
"20","ACCOUNTING AND GENERAL SERVICES","TELEPHONE AND TELEGRAPH                           ",1703423.89,177978039
"21","ACCOUNTING AND GENERAL SERVICES","WORKERS' COMPENSATION PAYMENTS                    ",26275.5,177978039
"22","AGRICULTURE","AGRICULTURAL LOAN REVOLVING FUND LOANS            ",2499150,48528729
"23","AGRICULTURE","ALL OTHER MACHINERY & EQUIPMENT                   ",25350,48528729
"24","AGRICULTURE","EDP CONSULTANT SERVICES (NOT STATE)               ",129423.36,48528729
"25","AGRICULTURE","ELECTRICITY                                       ",108129.29,48528729
"26","AGRICULTURE","IRRIGATION MATERIALS & INSTALLATION               ",99733.6,48528729
"27","AGRICULTURE","LAND                                              ",5611414.92,48528729
"28","AGRICULTURE","MOTOR VEHICLES                                    ",67030.75,48528729
"29","AGRICULTURE","OTHER MISC CURRENT EXPENDITURES                   ",215846.3,48528729
"30","AGRICULTURE","OTHER R & M                                       ",43500,48528729
"31","AGRICULTURE","OTHR MATERIALS & SUPPLIES- CALLING CARDS          ",871964.96,48528729
"32","AGRICULTURE","SCIENTIFIC INSTRUMENTS & EQUIPMENT                ",102713.85,48528729
"33","AGRICULTURE","SERVICES-ON-A-FEE BASIS (NOT STATE EMPLOYEE)      ",13540609.65,48528729
"34","AGRICULTURE","TELEPHONE & TELEGRAPH                             ",34678.14,48528729
"35","ATTORNEY GENERAL","DUES AND SUBSCRIPTIONS                            ",238937.69,111795
"36","ATTORNEY GENERAL","INTERGOVERNMENTAL GRANTS-IN-AID                   ",5851917.65,111795
"37","ATTORNEY GENERAL","JUDGMENTS AND CLAIMS                              ",1259012.44,111795
"38","ATTORNEY GENERAL","MACHINERY AND EQUIPMENT                           ",526083.55,111795
"39","ATTORNEY GENERAL","OTHER CURRENT EXPENDITURES                        ",890770.72,111795
"40","ATTORNEY GENERAL","POSTAGE                                           ",2e+05,111795
"41","ATTORNEY GENERAL","REPAIRS AND MAINTENANCE                           ",1667588.77,111795
"42","ATTORNEY GENERAL","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",1957320.6,111795
"43","BUDGET AND FINANCE","AGENCY AND CLEARING ACCOUNTS                      ",436889.31,2158540694
"44","BUDGET AND FINANCE","DUES AND SUBSCRIPTIONS                            ",43406,2158540694
"45","BUDGET AND FINANCE","INSURANCE                                         ",322908745.09,2158540694
"46","BUDGET AND FINANCE","MACHINERY AND EQUIPMENT                           ",111772.01,2158540694
"47","BUDGET AND FINANCE","OTHER CURRENT EXPENDITURES                        ",1324809.54,2158540694
"48","BUDGET AND FINANCE","PERS SVCS REND BY OTHER DEPT AGEN(STATE EMPLOYEES)",79912.62,2158540694
"49","BUDGET AND FINANCE","RETIREMENT AND PENSION COST                       ",247299765,2158540694
"50","BUDGET AND FINANCE","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",433948.85,2158540694
"51","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","BUILDINGS                                         ",4956463.42,301943904
"52","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","ELECTRICITY                                       ",1767956.77,301943904
"53","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","MACHINERY AND EQUIPMENT                           ",177162.14,301943904
"54","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","OTHER CURRENT EXPENDITURES                        ",853062.18,301943904
"55","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","OTHER GRANTS-IN-AID                               ",695263,301943904
"56","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","OTHER SUPPLIES                                    ",94834.04,301943904
"57","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","PAYMENT FOR INVESTMENTS                           ",3410728.12,301943904
"58","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","PAYMENT FOR LOANS                                 ",40586578.97,301943904
"59","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","RENTAL OF EQUIPMENT                               ",102319.58,301943904
